strategy,total_visits,avg_satisfaction,avg_interest_match,avg_distance_km,total_co2_kg,avg_visit_sustainability,avg_local_economy,green_visit_share,central_visit_share,hotspot_visit_share,poi_coverage,neighbourhood_entropy,poi_visit_gini,neighbourhood_visit_gini,top_5_poi_visit_share,top_3_neighbourhood_visit_share,overcrowding_index,max_slot_crowd_ratio,visit_over_capacity_share,avg_precision_at_5,avg_recall_at_5,avg_diversity,avg_constraint_respect,avg_mean_recommendation_sustainability,seed
popularity,3000,0.6298792175715542,0.3406571570382201,1.933333419681488,163.75407305330796,0.47403653333333334,0.4561,0.19566666666666666,0.8556666666666667,0.7006666666666667,0.16393442622950818,0.5625549102061247,0.8760437158469945,0.8020919540229885,0.691,0.5463333333333333,0.0,0.19636363636363635,0.0,0.3774666666666667,0.11325,0.7941147619047619,0.7255999999999999,0.4692347800000001,42
personalized,3000,0.7019254816457388,0.5279369128145398,2.701457921206058,242.438495619083,0.5325022666666667,0.54486,0.20233333333333334,0.519,0.32666666666666666,0.7049180327868853,0.8782211272651875,0.6053770491803279,0.4705287356321839,0.31733333333333336,0.279,0.0,0.08888888888888889,0.0,0.9947999999999999,0.29987622549019605,0.5756594444444445,0.8748,0.53568534,42
sustainable,3000,0.6755799993533855,0.4922966499502025,2.7601303495184317,259.5221698936366,0.5761923333333334,0.6360066666666666,0.229,0.30666666666666664,0.179,0.8852459016393442,0.9872076886760152,0.45690710382513666,0.14754022988505744,0.19033333333333333,0.14133333333333334,0.0,0.092,0.0,0.8365333333333334,0.25218137254901957,0.6019231746031747,0.9660666666666666,0.5950952133333334,42
popularity,3000,0.6236809412566572,0.33784498449856326,1.9029135233914682,120.34347388240892,0.47297123333333335,0.4556,0.199,0.8653333333333333,0.692,0.16393442622950818,0.5676419723927097,0.8727213114754098,0.7986666666666666,0.674,0.5363333333333333,0.0,0.2109090909090909,0.0,0.3648,0.10942892156862744,0.794780873015873,0.7161333333333332,0.4684477866666667,50
personalized,3000,0.6987887710925892,0.52942716531987,2.7370058969288307,186.9892481430087,0.5333409,0.5436133333333333,0.22366666666666668,0.5256666666666666,0.31933333333333336,0.7213114754098361,0.8762901082954603,0.6083387978142076,0.4766896551724138,0.322,0.266,0.0,0.09444444444444444,0.0,0.9952000000000001,0.30000367647058823,0.5809468253968254,0.8877333333333333,0.5388645066666666,50
sustainable,3000,0.6735091240015458,0.49557587575143425,2.7664180842829142,190.35323773819778,0.5762128333333333,0.6333566666666667,0.24033333333333334,0.31433333333333335,0.18133333333333335,0.8688524590163934,0.986027752883883,0.44885245901639337,0.15386206896551724,0.19,0.14366666666666666,0.0,0.088,0.0,0.8380666666666666,0.2524718137254902,0.6009933333333334,0.9648,0.5936859533333333,50
popularity,3000,0.6269870700244876,0.34433737286305405,1.9107127516580489,144.21120496262586,0.4736986333333334,0.4581833333333332,0.199,0.8633333333333333,0.706,0.16393442622950818,0.5658295975488614,0.8740546448087432,0.8003908045977011,0.68,0.5423333333333333,0.0,0.1781818181818182,0.0,0.37660000000000005,0.1129325980392157,0.7962998412698413,0.7146666666666667,0.4694612333333333,60
personalized,3000,0.6970215333827624,0.5243288850586212,2.7134649030060216,212.10607767807764,0.5273704333333333,0.5335266666666666,0.194,0.5463333333333333,0.33666666666666667,0.7213114754098361,0.8709881609593538,0.6207431693989072,0.48841379310344823,0.3293333333333333,0.29533333333333334,0.0,0.1075,0.0,0.993,0.29933210784313724,0.5885934126984127,0.8672,0.5332835666666667,60
sustainable,3000,0.6705615261301855,0.48800894247645465,2.720068713116505,220.24659068018502,0.5761284666666667,0.6336666666666667,0.22533333333333333,0.309,0.177,0.8688524590163934,0.9864159176222088,0.4546120218579235,0.15220689655172404,0.193,0.14466666666666667,0.0,0.084,0.0,0.8198000000000001,0.24715318627450977,0.6148394444444444,0.9592666666666667,0.5925219666666667,60
popularity,3000,0.633633888085219,0.35250347837213075,1.8618026202891778,148.37291387760405,0.4715324333333334,0.4507166666666666,0.19233333333333333,0.8666666666666667,0.6993333333333334,0.16393442622950818,0.5653628307072429,0.8732021857923498,0.8029425287356322,0.67,0.552,0.0,0.22,0.0,0.3734666666666667,0.11197794117647061,0.7964919047619048,0.7193333333333334,0.4700627666666667,70
personalized,3000,0.7020865414287397,0.528654546334579,2.6725676993535985,227.02072881077234,0.5275819666666667,0.5465066666666667,0.18066666666666667,0.5423333333333333,0.338,0.7377049180327869,0.870650172418953,0.6168524590163935,0.4886436781609196,0.32466666666666666,0.2846666666666667,0.0,0.11555555555555555,0.0,0.9972,0.30061029411764706,0.5831544444444444,0.8846,0.53436646,70
sustainable,3000,0.6751123663700361,0.4929470435388275,2.6628955535400967,237.82217036329033,0.5724446,0.6355833333333333,0.211,0.32233333333333336,0.187,0.8852459016393442,0.9832137054439006,0.4633224043715847,0.16650574712643662,0.19833333333333333,0.14633333333333334,0.0,0.084,0.0,0.8371333333333334,0.2522426470588235,0.6048023809523809,0.9648666666666667,0.5912946466666668,70
popularity,3000,0.6277262931592159,0.3491167327690126,1.8885387082262872,121.1065691315368,0.47307410000000005,0.4560333333333333,0.19733333333333333,0.866,0.696,0.16393442622950818,0.5642201943822878,0.8729726775956284,0.8027356321839081,0.6686666666666666,0.55,0.0,0.19636363636363635,0.0,0.36986666666666673,0.11090441176470589,0.7993455555555556,0.7085333333333333,0.4704439666666667,80
personalized,3000,0.6979615096830215,0.5306933324986133,2.720386946816006,189.50173969697346,0.5317465333333333,0.5473866666666666,0.19033333333333333,0.5243333333333333,0.328,0.7213114754098361,0.8802324693985121,0.611551912568306,0.46811494252873564,0.323,0.27266666666666667,0.0,0.1,0.0,0.9936,0.29951102941176466,0.5813396825396826,0.8680666666666667,0.5348261733333334,80
sustainable,3000,0.6717102192298635,0.49401939641322257,2.737504451888451,195.63976617315006,0.5747199666666667,0.6336466666666667,0.21966666666666668,0.31066666666666665,0.18033333333333335,0.8360655737704918,0.9854841511209358,0.4572021857923496,0.15386206896551724,0.19666666666666666,0.143,0.0,0.108,0.0,0.8376666666666667,0.25245588235294114,0.6073415873015873,0.9582000000000002,0.5925850266666667,80
popularity,3000,0.6279553954760051,0.34958108688655753,1.8557565716645756,145.37036187930963,0.4730873,0.4590166666666666,0.19466666666666665,0.869,0.6966666666666667,0.16393442622950818,0.5667887945920255,0.87375956284153,0.7999999999999998,0.6776666666666666,0.54,0.0,0.19454545454545455,0.0,0.3834666666666667,0.11492892156862744,0.7969211904761905,0.7146666666666667,0.4709806333333333,90
personalized,3000,0.6943296292978082,0.5278047259992918,2.700737256070638,231.31160403094128,0.5281422333333333,0.5468,0.171,0.539,0.3333333333333333,0.7213114754098361,0.8675120966445241,0.6232021857923498,0.49397701149425277,0.341,0.288,0.0,0.10666666666666667,0.0,0.9952,0.30000245098039213,0.5850702380952382,0.8776666666666667,0.53263382,90
sustainable,3000,0.6674209504592492,0.4912347803330169,2.720131550622748,238.96098750388234,0.5726601333333333,0.6361166666666667,0.202,0.32166666666666666,0.18633333333333332,0.8688524590163934,0.9836966662101514,0.46338797814207644,0.1687586206896552,0.20233333333333334,0.146,0.0,0.104,0.0,0.8302666666666667,0.25013602941176466,0.6178477777777778,0.9610666666666666,0.5931891533333334,90
