poi_id,poi_name,neighbourhood,lat,lon,categories,popularity,capacity,cost,outdoor,culture,local_economy,green,is_central,baseline_pressure,sustainable_value,architecture,religious,museum,park,market,food,beach,viewpoint,shopping,nightlife,family,science,local
15,MNAC,Montjuic,41.3688,2.1534,"museum,viewpoint",0.68,450,12,0.2,0.95,0.42,0.1,False,0.44200000000000006,0.5266,0,0,1,0,0,0,0,1,0,0,0,0,0
16,Fundacio Joan Miro,Montjuic,41.3686,2.1594,museum,0.59,280,15,0.2,0.91,0.45,0.1,False,0.3835,0.5338,0,0,1,0,0,0,0,0,0,0,0,0,0
17,Poble Espanyol,Montjuic,41.3687,2.1484,"architecture,family,shopping,local",0.58,500,14,0.7,0.77,0.72,0.35,False,0.377,0.6231,1,0,0,0,0,0,0,0,1,0,1,0,1
18,Palau de la Musica,Sant Pere,41.3876,2.1753,architecture,0.67,300,18,0.15,0.94,0.35,0.05,True,0.6355000000000001,0.45489999999999997,1,0,0,0,0,0,0,0,0,0,0,0,0
19,Camp Nou Museum,Les Corts,41.3809,2.1228,"museum,family",0.74,700,28,0.2,0.65,0.48,0.05,False,0.481,0.4313,0,0,1,0,0,0,0,0,0,0,1,0,0
20,Temple del Tibidabo,Tibidabo,41.4225,2.1186,"religious,viewpoint,architecture",0.55,450,0,0.75,0.88,0.4,0.55,False,0.35750000000000004,0.6300000000000001,1,1,0,0,0,0,0,1,0,0,0,0,0
21,Tibidabo Park,Tibidabo,41.4218,2.1191,"family,viewpoint",0.54,600,35,0.8,0.5,0.45,0.5,False,0.35100000000000003,0.5173,0,0,0,0,0,0,0,1,0,0,1,0,0
22,Bunkers del Carmel,El Carmel,41.4186,2.1619,"viewpoint,local",0.64,400,0,1.0,0.68,0.35,0.65,False,0.41600000000000004,0.5708,0,0,0,0,0,0,0,1,0,0,0,0,1
23,Hospital de Sant Pau,Guinardo,41.4129,2.1744,"architecture,museum",0.62,400,16,0.45,0.92,0.42,0.22,False,0.403,0.5554,1,0,1,0,0,0,0,0,0,0,0,0,0
24,Gracia Squares,Vila de Gracia,41.402,2.1585,"food,nightlife,local",0.53,700,0,0.9,0.7,0.86,0.25,False,0.34450000000000003,0.6186,0,0,0,0,0,1,0,0,0,1,0,0,1
25,Mercat dels Encants,Fort Pienc,41.4031,2.187,"market,shopping,local",0.47,500,0,0.45,0.65,0.95,0.18,False,0.3055,0.6164,0,0,0,0,1,0,0,0,1,0,0,0,1
26,Design Museum,Glories,41.4032,2.1879,"museum,architecture",0.45,300,6,0.15,0.8,0.52,0.1,False,0.29250000000000004,0.5365,1,0,1,0,0,0,0,0,0,0,0,0,0
27,Torre Glories,Glories,41.4036,2.1896,"architecture,viewpoint",0.52,300,15,0.2,0.6,0.4,0.05,False,0.338,0.42490000000000006,1,0,0,0,0,0,0,1,0,0,0,0,0
28,Rambla del Poblenou,Poblenou,41.4004,2.2038,"food,beach,local",0.45,600,0,0.9,0.62,0.86,0.35,False,0.29250000000000004,0.6300000000000001,0,0,0,0,0,1,1,0,0,0,0,0,1
29,Bogatell Beach,Poblenou,41.3915,2.2053,"beach,family",0.46,800,0,1.0,0.35,0.62,0.86,False,0.29900000000000004,0.6152,0,0,0,0,0,0,1,0,0,0,1,0,0
30,Forum Park,Diagonal Mar,41.4114,2.2236,"park,architecture,beach,family",0.38,900,0,0.95,0.45,0.55,0.85,False,0.24700000000000003,0.6355999999999999,1,0,0,1,0,0,1,0,0,0,1,0,0
31,Sant Pau del Camp,El Raval,41.3764,2.1705,"religious,architecture",0.32,200,3,0.2,0.84,0.55,0.08,True,0.40800000000000003,0.5279,1,1,0,0,0,0,0,0,0,0,0,0,0
32,Maritime Museum,El Raval,41.3769,2.1761,"museum,family",0.5,350,10,0.15,0.86,0.5,0.06,True,0.525,0.493,0,0,1,0,0,0,0,0,0,0,1,0,0
33,CCCB,El Raval,41.383,2.1665,museum,0.48,300,8,0.1,0.83,0.5,0.05,True,0.512,0.48410000000000003,0,0,1,0,0,0,0,0,0,0,0,0,0
34,MACBA,El Raval,41.3839,2.1664,museum,0.56,320,12,0.2,0.86,0.48,0.08,True,0.5640000000000001,0.4852,0,0,1,0,0,0,0,0,0,0,0,0,0
35,Born Centre Cultural,El Born,41.3847,2.1836,"museum,local",0.46,350,5,0.25,0.84,0.62,0.08,True,0.49900000000000005,0.5272,0,0,1,0,0,0,0,0,0,0,0,0,1
36,History Museum of Catalonia,La Barceloneta,41.3801,2.1858,museum,0.44,300,6,0.2,0.83,0.55,0.06,True,0.48600000000000004,0.5043,0,0,1,0,0,0,0,0,0,0,0,0,0
37,Sant Antoni Market,Sant Antoni,41.3787,2.1622,"market,food,local",0.42,450,0,0.35,0.58,0.94,0.1,False,0.273,0.5794,0,0,0,0,1,1,0,0,0,0,0,0,1
38,Hostafrancs Market,Hostafrancs,41.3769,2.1439,"market,food,local",0.3,350,0,0.35,0.52,0.94,0.1,False,0.195,0.5770000000000001,0,0,0,0,1,1,0,0,0,0,0,0,1
39,Joan Miro Park,Nova Esquerra Eixample,41.3796,2.1495,"park,family,local",0.34,600,0,0.95,0.5,0.75,0.88,False,0.22100000000000003,0.7133,0,0,0,1,0,0,0,0,0,0,1,0,1
40,Pedralbes Monastery,Pedralbes,41.3957,2.1112,"religious,architecture,park",0.35,250,5,0.6,0.9,0.6,0.65,False,0.22749999999999998,0.737,1,1,0,1,0,0,0,0,0,0,0,0,0
41,Pedralbes Gardens,Pedralbes,41.3863,2.1184,"park,family",0.31,650,0,0.95,0.45,0.65,0.94,False,0.2015,0.6921999999999999,0,0,0,1,0,0,0,0,0,0,1,0,0
42,Labyrinth Park of Horta,Horta,41.4387,2.1475,"park,family",0.37,500,2,0.95,0.7,0.58,0.96,False,0.2405,0.7469,0,0,0,1,0,0,0,0,0,0,1,0,0
43,Fabra i Coats,Sant Andreu,41.4323,2.1907,"museum,local",0.25,300,0,0.25,0.67,0.92,0.15,False,0.1625,0.636,0,0,1,0,0,0,0,0,0,0,0,0,1
44,Sant Andreu Old Town,Sant Andreu,41.4351,2.1903,"food,local",0.28,450,0,0.85,0.62,0.92,0.18,False,0.18200000000000002,0.6246,0,0,0,0,0,1,0,0,0,0,0,0,1
45,Clot Park,El Clot,41.4105,2.1872,"park,family,local",0.24,450,0,0.95,0.42,0.82,0.9,False,0.156,0.7247999999999999,0,0,0,1,0,0,0,0,0,0,1,0,1
46,Can Framis Museum,Poblenou,41.404,2.197,"museum,local",0.26,220,8,0.15,0.78,0.82,0.08,False,0.169,0.6252,0,0,1,0,0,0,0,0,0,0,0,0,1
47,Palo Alto Market,Poblenou,41.3991,2.2067,"market,food,shopping,local",0.33,350,5,0.6,0.55,0.96,0.28,False,0.21450000000000002,0.6321000000000001,0,0,0,0,1,1,0,0,1,0,0,0,1
48,Torre Bellesguard,Sant Gervasi,41.4097,2.1269,architecture,0.29,180,16,0.45,0.86,0.55,0.22,False,0.1885,0.6128,1,0,0,0,0,0,0,0,0,0,0,0,0
49,CosmoCaixa,Sant Gervasi,41.4132,2.1314,"museum,family,science",0.57,550,6,0.2,0.74,0.55,0.08,False,0.3705,0.5054000000000001,0,0,1,0,0,0,0,0,0,0,1,1,0
50,Museu Frederic Mares,Gotic,41.3843,2.1768,museum,0.36,180,6,0.1,0.82,0.45,0.04,True,0.434,0.4817,0,0,1,0,0,0,0,0,0,0,0,0,0
51,Chocolate Museum,El Born,41.3868,2.1818,"museum,food,family",0.39,220,6,0.1,0.56,0.6,0.04,True,0.4535,0.4373,0,0,1,0,0,1,0,0,0,0,1,0,0
52,Creueta del Coll Park,La Salut,41.4177,2.1481,"park,family",0.27,500,0,0.95,0.42,0.7,0.94,False,0.17550000000000002,0.7009000000000001,0,0,0,1,0,0,0,0,0,0,1,0,0
53,Sarria Old Town,Sarria,41.3987,2.1213,"food,local",0.25,400,0,0.85,0.6,0.9,0.2,False,0.1625,0.6225,0,0,0,0,0,1,0,0,0,0,0,0,1
54,Mercat de la Llibertat,Vila de Gracia,41.3998,2.1536,"market,food,local",0.29,300,0,0.35,0.52,0.95,0.1,False,0.1885,0.5808,0,0,0,0,1,1,0,0,0,0,0,0,1
55,Guinardo Park,Guinardo,41.4165,2.1681,"park,viewpoint,family",0.3,700,0,0.95,0.44,0.65,0.94,False,0.195,0.6905,0,0,0,1,0,0,0,1,0,0,1,0,0
56,Carretera de les Aigues,Collserola,41.4158,2.104,"park,viewpoint",0.26,800,0,1.0,0.48,0.45,0.96,False,0.169,0.6627000000000001,0,0,0,1,0,0,0,1,0,0,0,0,0
57,Natural Science Museum,Diagonal Mar,41.4111,2.2193,"museum,family,science",0.34,300,6,0.2,0.72,0.55,0.06,False,0.22100000000000003,0.5243,0,0,1,0,0,0,0,0,0,0,1,1,0
58,Fabra Observatory,Tibidabo,41.4182,2.1239,"science,viewpoint,family",0.28,200,15,0.6,0.68,0.48,0.4,False,0.18200000000000002,0.5876,0,0,0,0,0,0,0,1,0,0,1,1,0
59,Olympic Port,La Barceloneta,41.387,2.1993,"beach,food,nightlife",0.5,700,0,0.9,0.4,0.65,0.35,True,0.525,0.46499999999999997,0,0,0,0,0,1,1,0,0,1,0,0,0
60,Casa Vicens,Vila de Gracia,41.4036,2.1507,"architecture,museum",0.55,250,18,0.35,0.88,0.45,0.12,False,0.35750000000000004,0.5349999999999999,1,0,1,0,0,0,0,0,0,0,0,0,0
