poi_name,neighbourhood,lat,lon,categories,popularity,capacity,cost,outdoor,culture,local_economy,green
Pedralbes Monastery,Pedralbes,41.3957,2.1112,"religious,architecture,park",0.35,250,5,0.6,0.9,0.6,0.65
Pedralbes Gardens,Pedralbes,41.3863,2.1184,"park,family",0.31,650,0,0.95,0.45,0.65,0.94
Labyrinth Park of Horta,Horta,41.4387,2.1475,"park,family",0.37,500,2,0.95,0.7,0.58,0.96
Fabra i Coats,Sant Andreu,41.4323,2.1907,"museum,local",0.25,300,0,0.25,0.67,0.92,0.15
Sant Andreu Old Town,Sant Andreu,41.4351,2.1903,"food,local",0.28,450,0,0.85,0.62,0.92,0.18
Clot Park,El Clot,41.4105,2.1872,"park,family,local",0.24,450,0,0.95,0.42,0.82,0.9
Can Framis Museum,Poblenou,41.404,2.197,"museum,local",0.26,220,8,0.15,0.78,0.82,0.08
Palo Alto Market,Poblenou,41.3991,2.2067,"market,food,shopping,local",0.33,350,5,0.6,0.55,0.96,0.28
Torre Bellesguard,Sant Gervasi,41.4097,2.1269,architecture,0.29,180,16,0.45,0.86,0.55,0.22
CosmoCaixa,Sant Gervasi,41.4132,2.1314,"museum,family,science",0.57,550,6,0.2,0.74,0.55,0.08
Museu Frederic Mares,Gotic,41.3843,2.1768,museum,0.36,180,6,0.1,0.82,0.45,0.04
Chocolate Museum,El Born,41.3868,2.1818,"museum,food,family",0.39,220,6,0.1,0.56,0.6,0.04
Creueta del Coll Park,La Salut,41.4177,2.1481,"park,family",0.27,500,0,0.95,0.42,0.7,0.94
Sarria Old Town,Sarria,41.3987,2.1213,"food,local",0.25,400,0,0.85,0.6,0.9,0.2
Mercat de la Llibertat,Vila de Gracia,41.3998,2.1536,"market,food,local",0.29,300,0,0.35,0.52,0.95,0.1
Guinardo Park,Guinardo,41.4165,2.1681,"park,viewpoint,family",0.3,700,0,0.95,0.44,0.65,0.94
Carretera de les Aigues,Collserola,41.4158,2.104,"park,viewpoint",0.26,800,0,1.0,0.48,0.45,0.96
Natural Science Museum,Diagonal Mar,41.4111,2.2193,"museum,family,science",0.34,300,6,0.2,0.72,0.55,0.06
Fabra Observatory,Tibidabo,41.4182,2.1239,"science,viewpoint,family",0.28,200,15,0.6,0.68,0.48,0.4
Olympic Port,La Barceloneta,41.387,2.1993,"beach,food,nightlife",0.5,700,0,0.9,0.4,0.65,0.35
Casa Vicens,Vila de Gracia,41.4036,2.1507,"architecture,museum",0.55,250,18,0.35,0.88,0.45,0.12
