poi_id,poi_name,neighbourhood,popularity,capacity,baseline_pressure,sustainable_value,visits,max_slot_crowd_ratio,strategy
19,Mercat de Gràcia,Dreta Eixample,0.9,700,0.7850000000000001,0.293,63,0.022857142857142857,sustainable
14,Sant Antoni Market,Dreta Eixample,0.9,700,0.7850000000000001,0.293,62,0.02142857142857143,sustainable
40,Rambla del Poblenou,Poblenou,0.8,1500,0.52,0.41100000000000003,57,0.015333333333333332,sustainable
9,Sant Pere Church,Gotic,0.6,200,0.5900000000000001,0.392,57,0.12,sustainable
24,CaixaForum,Montjuic,0.7,300,0.45499999999999996,0.624,55,0.04,sustainable
26,Joan Miro Foundation gardens,Montjuic,0.8,300,0.52,0.6985,55,0.06,sustainable
55,Pedralbes Gardens,Pedralbes,0.75,700,0.48750000000000004,0.6425000000000001,51,0.045714285714285714,sustainable
2,Ciutadella Park,El Born,0.8,1000,0.72,0.5485,43,0.014,sustainable
18,Egyptian Museum,Dreta Eixample,0.85,300,0.7525,0.46950000000000003,36,0.04,sustainable
4,History Museum of Catalonia,La Rambla,0.6,300,0.5900000000000001,0.34199999999999997,27,0.04666666666666667,sustainable
27,Hostafrancs Market,Montjuic,0.7,200,0.45499999999999996,0.504,25,0.055,sustainable
20,MNAC,Montjuic,0.85,1000,0.5525,0.5745,20,0.007,sustainable
45,Sant Andreu old town,Sant Andreu,0.8,700,0.52,0.5609999999999999,14,0.007142857142857143,sustainable
17,Palau Macaya,Dreta Eixample,0.9,700,0.7850000000000001,0.488,13,0.008571428571428572,sustainable
48,Torre Bellesguard,Pedralbes,0.75,450,0.48750000000000004,0.7175,12,0.017777777777777778,sustainable
3,Picasso Museum,El Raval,0.7,500,0.655,0.409,10,0.01,sustainable
6,Maritime Museum,La Barceloneta,0.7,400,0.655,0.314,7,0.0125,sustainable
49,Collserola viewpoints,Collserola,0.6,900,0.39,0.6669999999999999,3,0.0033333333333333335,sustainable
11,La Pedrera,Dreta Eixample,0.85,300,0.7525,0.46950000000000003,1,0.0033333333333333335,sustainable
16,Casa Vicens,Dreta Eixample,0.85,300,0.7525,0.46950000000000003,1,0.0033333333333333335,sustainable
35,Gracia squares,Vila de Gracia,0.7,300,0.45499999999999996,0.604,0,0.0,sustainable
31,Temple del Tibidabo,Horta,0.75,600,0.48750000000000004,0.4225,0,0.0,sustainable
13,Casa Amatller,Dreta Eixample,0.85,300,0.7525,0.46950000000000003,0,0.0,sustainable
32,Bunkers del Carmel,El Carmel,0.7,400,0.45499999999999996,0.379,0,0.0,sustainable
10,Casa Batllo,Dreta Eixample,0.85,300,0.7525,0.46950000000000003,0,0.0,sustainable
23,Magic Fountain,Montjuic,0.8,200,0.52,0.506,0,0.0,sustainable
21,Fundacio Joan Miro,Montjuic,0.8,200,0.52,0.586,0,0.0,sustainable
